zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_bdc_addition_activity,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
24.0,11,41011,True,200.3683412301732,8,18077,200.3683412301732,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,1577,1425,152,2850,2850,14250,0,2.69706392288208
24.0,12,41012,True,56.99601628707299,8,5437,56.99601628707299,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,502,468,34,936,936,4680,0,0.8103818893432617
24.0,13,41013,True,1.2836261175247035,8,126,1.2836261175247035,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,19,18,1,36,36,180,0,0.02586960792541504
24.0,14,41014,True,7.656832248569142,8,673,7.656832248569142,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,63,56,7,112,112,560,0,0.10589790344238281
24.0,15,41015,True,28.08424389330113,8,2511,28.08424389330113,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,218,198,20,396,396,1980,0,0.3807711601257324
24.0,16,41016,True,271.2501426589268,8,24761,271.2501426589268,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,2158,1980,178,3960,3960,19800,0,3.7126965522766113
24.0,17,41017,True,35.93168821773315,8,3297,35.93168821773315,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,280,244,36,488,488,2440,0,0.4830305576324463
24.0,18,41018,True,1.6774105370466377,8,216,1.6774105370466377,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,20,18,2,36,36,180,0,0.03298044204711914
24.0,19,41019,True,111.90538431249111,8,10047,111.90538431249111,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,848,769,79,1538,1538,7690,0,1.4781749248504639
24.0,20,41020,True,25.451919649460358,8,2411,25.451919649460358,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,197,187,10,374,374,1870,0,0.35658836364746094
24.0,21,41021,True,267.3341316200146,8,24191,267.3341316200146,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,2127,1913,214,3826,3826,19130,0,3.708608627319336
24.0,22,41022,True,8.794285062693834,8,773,8.794285062693834,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,64,62,2,124,124,620,0,0.11343884468078613
24.0,23,41023,True,48.70874136636641,8,4548,48.70874136636641,0.3210799322130391,3.892973355928987,0.9732433389822468,2.7156802711478436,0.8128680296795017,1.9299637456321754,0.8128680296795017,0.9732433389822468,0.6789200677869609,0.2778003388629677,multisite_first_binding_only,390,366,24,732,732,3660,0,0.6776716709136963
32.0,0,41100,True,18.28077893612508,8,1535,18.28077893612508,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,122,120,2,240,240,1200,0,0.21954607963562012
32.0,1,41101,True,26.00651490876159,9,2184,26.00651490876159,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,202,180,22,360,360,1800,0,0.34403324127197266
32.0,2,41102,True,359.4264944777258,8,31586,359.4264944777258,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,2708,2507,201,5014,5014,25070,0,4.599936485290527
32.0,3,41103,True,221.25901555631265,8,19392,221.25901555631265,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,1644,1515,129,3030,3030,15150,0,2.8135175704956055
32.0,4,41104,True,28.350333533329895,8,2531,28.350333533329895,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,212,202,10,404,404,2020,0,0.35758066177368164
32.0,5,41105,True,25.339390315219894,8,2357,25.339390315219894,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,227,207,20,414,414,2070,0,0.36160707473754883
32.0,6,41106,True,19.92580622883216,8,1642,19.92580622883216,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,145,129,16,258,258,1290,0,0.2487046718597412
32.0,7,41107,True,286.48888317413156,8,25412,286.48888317413156,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,2174,2011,163,4022,4022,20110,0,3.7017765045166016
32.0,8,41108,True,107.78595577772842,8,9555,107.78595577772842,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,832,766,66,1532,1532,7660,0,1.3791491985321045
32.0,9,41109,True,119.83670657320889,8,10274,119.83670657320889,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,867,808,59,1616,1616,8080,0,1.482374906539917
32.0,10,41110,True,103.54008976387114,8,8953,103.54008976387114,0.3871329173466499,5.204289027551117,0.9758041926658345,2.4514683306134004,0.7733293404494734,1.8433351739652795,0.7733293404494734,0.9758041926658345,0.6128670826533501,0.25466389864609495,multisite_first_binding_only,776,724,52,1448,1448,7240,0,1.2956433296203613
