zr_conc,repeat_index,seed,reached_target,time_to_target_seconds,final_entities,steps_executed,simulated_time_seconds,prebound_fraction,effective_zr6_conc,effective_zr6_fraction_for_growth,effective_linker_conc,external_addition_activity,total_external_addition_channel_activity,legacy_external_addition_activity,free_zr6_addition_activity,free_linker_addition_activity,prebound_zr_btb_addition_activity,external_channel_activity_basis,prebound_external_channel_species,distorted_chemistry_model,prebound_growth_attempts,prebound_growth_successes,prebound_growth_failures,prebound_entities_added,prebound_linkages_formed,prebound_free_growth_site_delta,prebound_ready_pair_delta,wall_seconds
44.0,5,41205,True,0.028948827814628982,100,1745,0.028948827814628982,0.07146662670974217,7.2072372903390765,0.9828050850462378,19.659702361866234,0.9552838954493067,28.24488357429926,0.9552838954493067,7.2072372903390765,19.659702361866234,1.3779439220939473,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,23,10,13,20,20,110,0,0.8798041343688965
44.0,6,41206,True,0.039303757768507745,100,1463,0.039303757768507745,0.07146662670974217,7.2072372903390765,0.9828050850462378,19.659702361866234,0.9552838954493067,28.24488357429926,0.9552838954493067,7.2072372903390765,19.659702361866234,1.3779439220939473,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,21,15,6,30,30,165,0,0.7654650211334229
44.0,7,41207,True,0.022861557588288655,100,1179,0.022861557588288655,0.07146662670974217,7.2072372903390765,0.9828050850462378,19.659702361866234,0.9552838954493067,28.24488357429926,0.9552838954493067,7.2072372903390765,19.659702361866234,1.3779439220939473,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,26,16,10,32,32,176,0,0.6419332027435303
60.0,0,41300,True,0.019391365016137772,100,820,0.019391365016137772,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,21,10,11,20,20,110,0,0.43112707138061523
60.0,1,41301,True,0.026844108299120175,100,1147,0.026844108299120175,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,18,13,5,26,26,143,0,0.5722508430480957
60.0,2,41302,True,0.020302364694052662,100,906,0.020302364694052662,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,17,11,6,22,22,121,0,0.4777851104736328
60.0,3,41303,True,0.03773197246209445,101,1425,0.03773197246209445,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,30,19,11,38,38,209,0,0.8466062545776367
60.0,4,41304,True,0.031056106646680327,101,1081,0.031056106646680327,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,31,19,12,38,38,209,0,0.6828856468200684
60.0,5,41305,True,0.05729974910260908,100,1471,0.05729974910260908,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,38,22,16,44,44,242,0,0.9176003932952881
60.0,6,41306,True,0.020559090415477307,100,1096,0.020559090415477307,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,23,14,9,28,28,154,0,0.6245360374450684
60.0,7,41307,True,0.024002132043335605,100,1409,0.024002132043335605,0.09501767624639627,9.832350377500793,0.9832350377500794,19.161059407806842,0.943297582557609,30.829688752823117,0.943297582557609,9.832350377500793,19.161059407806842,1.8362789675154834,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,35,24,11,48,48,264,0,0.8300642967224121
80.0,0,41400,True,0.013226585633560734,100,787,0.013226585633560734,0.12284773261704217,13.116580232102743,0.9837435174077057,18.571817663030238,0.928920263971809,34.06902753877858,0.928920263971809,13.116580232102743,18.571817663030238,2.380629643645601,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,24,16,8,32,32,176,0,0.5016679763793945
80.0,1,41401,True,0.02720028752024721,100,1142,0.02720028752024721,0.12284773261704217,13.116580232102743,0.9837435174077057,18.571817663030238,0.928920263971809,34.06902753877858,0.928920263971809,13.116580232102743,18.571817663030238,2.380629643645601,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,39,21,18,42,42,231,0,0.7341330051422119
80.0,2,41402,True,0.01362610843427217,100,784,0.01362610843427217,0.12284773261704217,13.116580232102743,0.9837435174077057,18.571817663030238,0.928920263971809,34.06902753877858,0.928920263971809,13.116580232102743,18.571817663030238,2.380629643645601,absolute_concentrations,prebound_zr6_cluster_conc,multisite_first_binding_only,15,8,7,16,16,88,0,0.41292881965637207
