,filename,dir_path,SBU_count,BTB_count,plane_count,ellipse_a,ellipse_b,Zr,FA,L,Ratio,Step,Index,SC,KC,plane_area_0,plane_area_1,plane_area_2,plane_area_3,plane_area_4,plane_area_5,plane_area_6,plane_area_7,plane_area_8,plane_area_9,plane_area_10,plane_area_11,plane_area_12
assembly_22932.445870330517.mol2,assembly_22932.445870330517.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_26.92537534097_FA_19242.36940681359_L_24.51557460408941_Ratio_0.6_Step_1e15.0_Index_3_SC_0.8872158862505483_KC_1.521542629206447_2025-08-18_22_52_33,65.0,131.0,1,97.3926005926697,73.7463999215793,26.92537534097,19242.36940681359,24.51557460408941,0.6,1e15.0,3.0,0.8872158862505483,1.521542629206447,25949.056049809788,,,,,,,,,,,,
assembly_87332.12948104937.mol2,assembly_87332.12948104937.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_1.969305995373278_FA_20923.740561019_L_16.75172297475205_Ratio_0.6_Step_1e15.0_Index_1_SC_1.786447557683061_KC_1.895072851875978_2025-08-18_22_52_28,7.0,12.0,1,30.3389960947656,25.653788928120008,1.969305995373278,20923.740561019,16.75172297475205,0.6,1e15.0,1.0,1.786447557683061,1.895072851875978,2547.634066589733,,,,,,,,,,,,
assembly_8060.121154127637.mol2,assembly_8060.121154127637.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_12.10135121288822_FA_2468.315741712479_L_13.38819657514628_Ratio_0.6_Step_1e15.0_Index_2_SC_0.6584036653562392_KC_0.4945356653290651_2025-08-18_22_52_37,67.0,138.0,1,95.72577434022261,84.30067385908872,12.10135121288822,2468.315741712479,13.38819657514628,0.6,1e15.0,2.0,0.6584036653562392,0.4945356653290651,27203.651946772206,,,,,,,,,,,,
assembly_595.378494197296.mol2,assembly_595.378494197296.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_42.26918369718274_FA_6576.450715457925_L_34.53989605852026_Ratio_0.6_Step_1e15.0_Index_3_SC_1.943655373409894_KC_0.6690296097927194_2025-08-18_22_52_40,118.0,247.0,3,112.94082595180372,94.21488346049959,42.26918369718274,6576.450715457925,34.53989605852026,0.6,1e15.0,3.0,1.943655373409894,0.6690296097927194,32287.91336682081,11255.447719557018,6068.815564467463,,,,,,,,,,
assembly_16405.043278499877.mol2,assembly_16405.043278499877.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_8.467921759563033_FA_11364.74762049612_L_19.32354744335534_Ratio_0.6_Step_1e15.0_Index_2_SC_0.4937500167178606_KC_1.582188225373893_2025-08-18_22_52_31,55.0,110.0,1,96.70131434147382,62.168645623899884,8.467921759563033,11364.74762049612,19.32354744335534,0.6,1e15.0,2.0,0.4937500167178606,1.582188225373893,21745.021016569954,,,,,,,,,,,,
assembly_129862.15058205805.mol2,assembly_129862.15058205805.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_24.97416909353897_FA_20435.87662528702_L_14.87865542296026_Ratio_0.6_Step_1e15.0_Index_1_SC_0.7972895773518738_KC_1.097203636932564_2025-08-18_22_52_39,17.0,32.0,1,48.42134722985899,42.592065260860316,24.97416909353897,20435.87662528702,14.87865542296026,0.6,1e15.0,1.0,0.7972895773518738,1.097203636932564,6798.218090508075,,,,,,,,,,,,
assembly_1989.7443765309429.mol2,assembly_1989.7443765309429.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_16.75889954674182_FA_1085.993661658934_L_7.352476244557252_Ratio_0.6_Step_1e15.0_Index_0_SC_0.5969336596948891_KC_0.8424637863555777_2025-08-18_22_52_40,170.0,375.0,5,108.9724627355189,93.73838532365606,16.75889954674182,1085.993661658934,7.352476244557252,0.6,1e15.0,0.0,0.5969336596948891,0.8424637863555777,35378.68175591358,15415.33401348511,22313.47602877113,11247.693324847645,10805.524720770092,,,,,,,,
assembly_304.194054254103.mol2,assembly_304.194054254103.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_33.96403461050071_FA_3231.837052566874_L_28.64056966855832_Ratio_0.6_Step_1e15.0_Index_1_SC_1.650219347157333_KC_1.019526897000774_2025-08-18_22_52_33,195.0,447.0,2,128.61326146112515,122.54440803328045,33.96403461050071,3231.837052566874,28.64056966855832,0.6,1e15.0,1.0,1.650219347157333,1.019526897000774,56309.06873790085,16963.03746203897,,,,,,,,,,,
assembly_3767.550336587805.mol2,assembly_3767.550336587805.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_44.05578107169681_FA_5792.872938937854_L_17.79301888173767_Ratio_0.6_Step_1e15.0_Index_0_SC_1.174414013992555_KC_0.5524735509499024_2025-08-18_22_52_39,99.0,198.0,2,104.62750963781143,86.15478267929707,44.05578107169681,5792.872938937854,17.79301888173767,0.6,1e15.0,0.0,1.174414013992555,0.5524735509499024,31176.864326260285,11511.75907324949,,,,,,,,,,,
assembly_39976.53563495737.mol2,assembly_39976.53563495737.mol2,/public/home/yibinjiang/workspace/out1/MOL_batch0_selected/Zr_15.18213455703067_FA_11016.89556329766_L_25.85246758775019_Ratio_0.6_Step_1e15.0_Index_3_SC_0.7230898735622031_KC_0.5616521196052651_2025-08-18_22_52_30,22.0,42.0,1,59.98324178414274,37.96336223822282,15.18213455703067,11016.89556329766,25.85246758775019,0.6,1e15.0,3.0,0.7230898735622031,0.5616521196052651,8194.616265060507,,,,,,,,,,,,
